Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,119.888,-148.122,90,top
C2,C,C_0805_2012Metric,140.462,-94.488,0,top
C3,C,C_0805_2012Metric,122.164,-148.122,90,top
C4,C,C_0805_2012Metric,116.84,-68.646,90,top
C5,C,C_0805_2012Metric,141.478,-83.058,-90,top
C6,18pF,C_0805_2012Metric,122.074,-133.096,180,top
C7,18pF,C_0805_2012Metric,122.174,-124.46,0,top
C8,100nF,C_0603_1608Metric,127.762,-139.192,0,top
C9,1uF,C_0603_1608Metric,136.398,-127.508,0,top
C10,270pF,C_0603_1608Metric,136.398,-129.286,0,top
C11,100nF,C_0603_1608Metric,139.342,-133.252,0,top
C12,100nF,C_0603_1608Metric,139.342,-131.474,0,top
C13,100nF,C_0603_1608Metric,139.342,-135.03,0,top
C14,18pF,C_0805_2012Metric,122.428,-110.49,90,top
J1,FTDI,PinSocket_1x06_P2.54mm_Vertical,117.627,-162.839,0,top
J8,Screw_Terminal_01x03,PinSocket_1x03_P2.54mm_Vertical,134.23782,-73.978017,90,top
J9,Screw_Terminal_01x03,PinSocket_1x03_P2.54mm_Vertical,120.142,-73.978017,90,top
L1,FB/30R,L_0805_2012Metric,136.144,-137.668,90,top
R1,12k,R_0603_1608Metric,122.111,-157.988,0,top
R2,12k,R_0603_1608Metric,140.462,-92.202,0,top
R3,10R,R_0603_1608Metric,136.398,-154.686,90,top
R4,10R,R_0603_1608Metric,134.62,-154.686,90,top
R5,4.7K,C_0805_2012Metric,125.576,-130.81,-90,top
R6,10R,R_0603_1608Metric,138.176,-154.686,90,top
R7,10R,R_0603_1608Metric,125.476,-133.604,180,top
R8,4.7K,R_0603_1608Metric,125.476,-137.16,0,top
R9,1.5K,R_0603_1608Metric,125.476,-135.382,0,top
R10,12.1K,R_0603_1608Metric,135.89,-131.064,0,top
R11,49R9,R_0603_1608Metric,135.382,-115.062,90,top
R12,49R9,R_0603_1608Metric,133.604,-115.062,90,top
R13,49R9,R_0603_1608Metric,131.826,-115.062,90,top
R14,49R9,R_0603_1608Metric,128.016,-115.062,90,top
R15,330,R_0603_1608Metric,132.604,-126.646,90,top
R16,330,R_0603_1608Metric,130.638,-126.646,90,top
R17,62r,R_0603_1608Metric,137.16,-76.962,0,top
R18,62,R_0603_1608Metric,123.444,-76.708,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,128.016,-149.352,0,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,129.928,-170.01,180,top
U3,LAN8720A,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,131.064,-132.842,-90,top
U4,SN74LV4T125,TSSOP-14_4.4x5mm_P0.65mm,129.7,-83.1,0,top
Y1,25MHz,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,121.574,-128.678,90,top
